paso,id_pedido,estado_anterior,estado_nuevo,evento
1,PED-001,Pedido Recibido,Devuelto,PED-001: Pedido Recibido -> Devuelto
1,PED-002,Pedido Recibido,En Preparación,PED-002: Pedido Recibido -> En Preparación
1,PED-003,Pedido Recibido,En Preparación,PED-003: Pedido Recibido -> En Preparación
1,PED-004,Pedido Recibido,Devuelto,PED-004: Pedido Recibido -> Devuelto
1,PED-005,Pedido Recibido,En Preparación,PED-005: Pedido Recibido -> En Preparación
1,PED-006,Pedido Recibido,En Preparación,PED-006: Pedido Recibido -> En Preparación
1,PED-007,Pedido Recibido,En Preparación,PED-007: Pedido Recibido -> En Preparación
1,PED-008,Pedido Recibido,En Preparación,PED-008: Pedido Recibido -> En Preparación
1,PED-009,Pedido Recibido,En Preparación,PED-009: Pedido Recibido -> En Preparación
1,PED-010,Pedido Recibido,En Preparación,PED-010: Pedido Recibido -> En Preparación
1,PED-011,Pedido Recibido,Devuelto,PED-011: Pedido Recibido -> Devuelto
1,PED-012,Pedido Recibido,En Preparación,PED-012: Pedido Recibido -> En Preparación
1,PED-013,Pedido Recibido,Devuelto,PED-013: Pedido Recibido -> Devuelto
1,PED-014,Pedido Recibido,En Preparación,PED-014: Pedido Recibido -> En Preparación
1,PED-015,Pedido Recibido,En Preparación,PED-015: Pedido Recibido -> En Preparación
1,PED-016,Pedido Recibido,En Preparación,PED-016: Pedido Recibido -> En Preparación
1,PED-017,Pedido Recibido,En Preparación,PED-017: Pedido Recibido -> En Preparación
1,PED-018,Pedido Recibido,En Preparación,PED-018: Pedido Recibido -> En Preparación
1,PED-019,Pedido Recibido,En Preparación,PED-019: Pedido Recibido -> En Preparación
1,PED-020,Pedido Recibido,En Preparación,PED-020: Pedido Recibido -> En Preparación
1,PED-021,Pedido Recibido,En Preparación,PED-021: Pedido Recibido -> En Preparación
1,PED-022,Pedido Recibido,Devuelto,PED-022: Pedido Recibido -> Devuelto
1,PED-023,Pedido Recibido,En Preparación,PED-023: Pedido Recibido -> En Preparación
1,PED-024,Pedido Recibido,Devuelto,PED-024: Pedido Recibido -> Devuelto
1,PED-025,Pedido Recibido,Devuelto,PED-025: Pedido Recibido -> Devuelto
1,PED-026,Pedido Recibido,En Preparación,PED-026: Pedido Recibido -> En Preparación
1,PED-027,Pedido Recibido,En Preparación,PED-027: Pedido Recibido -> En Preparación
1,PED-028,Pedido Recibido,En Preparación,PED-028: Pedido Recibido -> En Preparación
1,PED-029,Pedido Recibido,En Preparación,PED-029: Pedido Recibido -> En Preparación
